accno,store_name,rep_code,rep_name,health_score,tier_code,tier_label,tier_emoji,freq_3m,freq_6m,freq_12m,freq_score,visits_6m,visits_per_month,days_since_purchase,cadence_score,n_cats_all,n_cats_12m,cats_12m,basket_score,sku_depth_score,sku_depth_detail,trend_slope_pct,trend_score
KR008,Shingwedzi B.M.CC,NP,Nikhil Panchal,73.3,growing,Active & Growing,🟢,3.67,4.34,4.91,100.0,4,0.67,5,33.3,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",94.5,100.0,PVA Paints:5.2%; Putty:75.0%; General:22.9%; Accessories:18.2%; QD Enamel:4.8%; Enamel:24.0%; Woodcare:68.0%; Waterproofing:28.9%; Floor & Roof Paints:6.8%; Primers:12.5%,-19.94,0.0
KK022,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,72.5,growing,Active & Growing,🟢,3.67,3.01,2.58,75.2,7,1.17,6,58.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Floor & Roof Paints:35.1%; PVA Paints:41.1%; Enamel:27.3%; Primers:32.5%; Waterproofing:28.9%; Woodcare:84.0%; Specialised Coatings:50.0%; Putty:37.5%; Accessories:39.4%; General:41.7%; QD Enamel:22.1%,-11.92,0.0
KS023,CASH SALE,Z1,Z1,72.2,growing,Active & Growing,🟢,8.69,7.52,8.0,100.0,0,0.0,5,0.0,10,9,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing",85.5,43.4,QD Enamel:3.8%; Enamel:6.6%; PVA Paints:10.0%; Primers:20.0%; Floor & Roof Paints:8.1%; Accessories:12.1%; Specialised Coatings:16.7%; Waterproofing:7.9%; Putty:12.5%,44.42,100.0
KA055,A K Distributors (Pty) Ltd,BV,Bhadresh Vallabh,71.5,growing,Active & Growing,🟢,4.01,4.01,4.66,100.0,0,0.0,12,0.0,9,9,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,94.9,Primers:20.0%; Enamel:18.6%; Specialised Coatings:41.7%; PVA Paints:1.3%; QD Enamel:16.3%; Floor & Roof Paints:13.5%; Woodcare:48.0%; General:16.7%; Putty:37.5%,0.27,51.3
KE012,Easy Build Hardware,NP,Nikhil Panchal,71.0,growing,Active & Growing,🟢,0.67,1.5,1.5,37.5,8,1.33,33,66.7,10,10,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,84.6,PVA Paints:10.0%; Enamel:23.0%; Primers:5.0%; Woodcare:64.0%; Putty:37.5%; General:27.1%; QD Enamel:8.7%; Waterproofing:10.5%; Specialised Coatings:16.7%; Accessories:9.1%,5.61,78.0
KK021,Kit Kat Group (Pty) Ltd,NP,Nikhil Panchal,70.0,growing,Active & Growing,🟢,23.05,18.37,14.91,100.0,0,0.0,6,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:55.7%; QD Enamel:23.1%; Primers:40.0%; Enamel:28.4%; Floor & Roof Paints:41.9%; Waterproofing:34.2%; Woodcare:84.0%; Putty:37.5%; General:54.2%; Accessories:42.4%; Specialised Coatings:50.0%,-11.54,0.0
KD001,Dainty's Wholesale Hardware,BV,Bhadresh Vallabh,69.5,growing,Active & Growing,🟢,2.67,4.18,4.33,100.0,0,0.0,12,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,96.7,PVA Paints:15.2%; Enamel:30.6%; Primers:5.0%; Waterproofing:23.7%; Woodcare:56.0%; Floor & Roof Paints:28.4%; Putty:37.5%; QD Enamel:8.7%; Accessories:21.2%; General:31.2%; Specialised Coatings:8.3%,-15.06,0.0
KP030,Platinum Rainbow Hardware,BV,Bhadresh Vallabh,68.9,growing,Active & Growing,🟢,1.0,2.34,3.0,58.5,9,1.5,26,75.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,86.9,PVA Paints:7.8%; Primers:10.0%; Putty:62.5%; Accessories:24.2%; QD Enamel:27.9%; General:25.0%; Enamel:2.2%; Floor & Roof Paints:13.5%; Woodcare:36.0%; Specialised Coatings:16.7%; Waterproofing:13.2%,-10.68,0.0
KN024,Navisha Investments Pty Ltd,NP,Nikhil Panchal,68.8,growing,Active & Growing,🟢,6.01,6.68,6.33,100.0,4,0.67,27,33.3,8,8,"Accessories, Enamel, General, PVA Paints, Primers, Putty, Waterproofing, Woodcare",72.7,87.5,PVA Paints:3.6%; Enamel:12.0%; Waterproofing:42.1%; Woodcare:32.0%; Putty:25.0%; General:33.3%; Accessories:12.1%; Primers:15.0%,-4.79,26.0
KC029,Choice Build Hardware,AP,Amit Patel,68.4,growing,Active & Growing,🟢,0.67,1.34,1.25,33.5,0,0.0,25,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Putty:37.5%; QD Enamel:26.0%; PVA Paints:7.8%; Enamel:20.8%; Floor & Roof Paints:39.2%; Primers:22.5%; Woodcare:84.0%; General:4.2%; Accessories:18.2%; Waterproofing:13.2%; Specialised Coatings:8.3%,18.31,100.0
KL034,Lucky Save 2,AP,Amit Patel,67.6,growing,Active & Growing,🟢,1.0,1.84,1.58,46.0,4,0.67,40,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,59.2,PVA Paints:6.8%; Enamel:13.7%; Putty:37.5%; General:8.3%; Accessories:12.1%; QD Enamel:11.5%; Floor & Roof Paints:6.8%; Waterproofing:18.4%; Woodcare:28.0%; Primers:5.0%,13.27,100.0
KK012,Pacfic Beach Trading 8cc,BV,Bhadresh Vallabh,67.3,growing,Active & Growing,🟢,1.34,1.17,1.0,29.2,9,1.5,4,75.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,86.1,Enamel:16.4%; Putty:62.5%; Accessories:21.2%; PVA Paints:6.5%; QD Enamel:3.8%; Floor & Roof Paints:4.1%; Woodcare:56.0%; General:8.3%; Primers:7.5%; Waterproofing:28.9%,1.37,56.8
KB012,Buy-Rite,NP,Nikhil Panchal,67.3,growing,Active & Growing,🟢,2.67,4.01,3.08,100.0,0,0.0,18,0.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,100.0,PVA Paints:16.5%; Enamel:23.5%; Primers:20.0%; Waterproofing:34.2%; Woodcare:64.0%; Accessories:30.3%; QD Enamel:16.3%; Floor & Roof Paints:20.3%; General:22.9%; Specialised Coatings:8.3%,-15.85,0.0
KO002,Omega Hardware And Supermarket,NP,Nikhil Panchal,67.3,growing,Active & Growing,🟢,2.0,2.34,1.83,58.5,5,0.83,12,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,79.2,PVA Paints:7.4%; Enamel:12.0%; Floor & Roof Paints:14.9%; Putty:62.5%; Accessories:21.2%; Woodcare:24.0%; QD Enamel:4.8%; Primers:12.5%; Waterproofing:26.3%; General:12.5%,-0.26,48.7
KF020,Fast Build Hardware,NP,Nikhil Panchal,67.3,growing,Active & Growing,🟢,0.67,0.84,1.42,21.0,3,0.5,25,25.0,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",94.5,100.0,PVA Paints:12.0%; Enamel:21.3%; Floor & Roof Paints:16.2%; Waterproofing:34.2%; Woodcare:72.0%; General:10.4%; Accessories:24.2%; QD Enamel:20.2%; Putty:25.0%; Primers:15.0%,12.27,100.0
KP018,Khotawala 786 Traders TA,AP,Amit Patel,66.8,growing,Active & Growing,🟢,1.0,1.0,1.42,25.0,5,0.83,12,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,92.4,PVA Paints:2.6%; Enamel:17.5%; Primers:10.0%; Waterproofing:26.3%; Woodcare:48.0%; Putty:75.0%; General:22.9%; Accessories:24.2%; QD Enamel:1.9%; Floor & Roof Paints:2.7%,7.59,88.0
KB003,New Best Build Hardware,AP,Amit Patel,66.7,growing,Active & Growing,🟢,1.0,1.5,1.83,37.5,5,0.83,12,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,76.5,Enamel:17.5%; Primers:5.0%; Woodcare:52.0%; Putty:62.5%; General:4.2%; Accessories:18.2%; QD Enamel:8.7%; Waterproofing:15.8%; Floor & Roof Paints:4.1%; PVA Paints:3.2%,6.46,82.3
KT019,Trendleaders Trading & Inv. CC,NP,Nikhil Panchal,66.5,growing,Active & Growing,🟢,1.34,2.0,2.17,50.0,0,0.0,24,0.0,10,9,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",85.5,89.1,Floor & Roof Paints:20.3%; PVA Paints:5.5%; Primers:22.5%; Woodcare:48.0%; Accessories:27.3%; QD Enamel:23.1%; Enamel:18.6%; Specialised Coatings:16.7%; Waterproofing:18.4%,20.01,100.0
KU008,Uzzi Hardware PTY LTD,BV,Bhadresh Vallabh,65.0,growing,Active & Growing,🟢,0.67,0.67,1.0,16.8,5,0.83,27,41.7,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,74.8,PVA Paints:3.6%; Enamel:10.9%; Floor & Roof Paints:12.2%; Waterproofing:18.4%; Woodcare:72.0%; Accessories:15.2%; QD Enamel:16.3%; Primers:5.0%; Specialised Coatings:16.7%; General:16.7%,29.21,100.0
KH021,Ebrahim Abramjee Traders CC,AC,Aboo Cassim,64.8,narrow,Active but Narrow,🟡,11.02,9.85,10.49,100.0,0,0.0,5,0.0,8,8,"Accessories, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",72.7,65.8,Primers:17.5%; Waterproofing:26.3%; QD Enamel:49.0%; Accessories:3.0%; Floor & Roof Paints:23.0%; Specialised Coatings:8.3%; PVA Paints:0.6%; Woodcare:4.0%,0.84,54.2
KA090,A A Owaish Maize Depot Pty Ltd,AP,Amit Patel,64.6,narrow,Active but Narrow,🟡,2.0,2.17,1.75,54.2,4,0.67,12,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,81.6,PVA Paints:3.6%; Enamel:14.2%; Waterproofing:31.6%; Woodcare:16.0%; Putty:75.0%; General:31.2%; Accessories:18.2%; QD Enamel:3.8%; Primers:5.0%; Floor & Roof Paints:5.4%,-1.31,43.5
KS029,Duro Build,BV,Bhadresh Vallabh,64.6,at_risk,At-Risk,🟠,2.67,3.34,3.58,83.5,0,0.0,27,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,91.5,Enamel:26.2%; Woodcare:68.0%; QD Enamel:18.3%; PVA Paints:5.2%; Primers:20.0%; Accessories:24.2%; Waterproofing:18.4%; General:6.2%; Specialised Coatings:25.0%; Floor & Roof Paints:2.7%; Putty:37.5%,-45.97,0.0
KD008,Dada's World of Hardware CC,BV,Bhadresh Vallabh,64.5,at_risk,At-Risk,🟠,4.01,5.68,6.0,100.0,0,0.0,5,0.0,9,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",81.8,100.0,PVA Paints:12.0%; Enamel:32.8%; Floor & Roof Paints:23.0%; Woodcare:72.0%; General:31.2%; Primers:35.0%; QD Enamel:7.7%; Accessories:18.2%; Specialised Coatings:33.3%,-26.28,0.0
KE005,Easy Build Hardware,NP,Nikhil Panchal,64.3,at_risk,At-Risk,🟠,2.34,2.67,3.0,66.8,0,0.0,6,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:25.2%; Primers:32.5%; Enamel:31.7%; Woodcare:72.0%; Floor & Roof Paints:16.2%; Putty:50.0%; QD Enamel:11.5%; Waterproofing:21.1%; Specialised Coatings:25.0%; General:39.6%; Accessories:6.1%,-6.53,17.4
KA050,Fountain Square Trading 129cc,AC,Aboo Cassim,64.2,narrow,Active but Narrow,🟡,2.0,2.0,1.83,50.0,4,0.67,34,33.3,7,6,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Waterproofing, Woodcare",58.2,94.9,Enamel:23.0%; Floor & Roof Paints:18.9%; PVA Paints:14.6%; Waterproofing:15.8%; Woodcare:64.0%; Accessories:6.1%,47.73,100.0
KB108,Boxer Hardware,NP,Nikhil Panchal,64.2,at_risk,At-Risk,🟠,2.67,3.51,3.08,87.8,0,0.0,12,0.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,PVA Paints:6.8%; Enamel:18.6%; Floor & Roof Paints:20.3%; Waterproofing:31.6%; Woodcare:68.0%; Putty:75.0%; Accessories:24.2%; QD Enamel:15.4%; Primers:15.0%; General:18.8%,-27.29,0.0
KB071,Intshebe Props 216 Pty Ltd,NP,Nikhil Panchal,63.9,at_risk,At-Risk,🟠,3.67,3.17,3.5,79.2,0,0.0,3,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,94.0,General:35.4%; PVA Paints:10.0%; Enamel:20.8%; Waterproofing:28.9%; Woodcare:72.0%; Accessories:30.3%; QD Enamel:13.5%; Putty:25.0%; Primers:7.5%; Specialised Coatings:8.3%; Floor & Roof Paints:6.8%,-28.66,0.0
KS071,Nimeshkumar General Dealers,BV,Bhadresh Vallabh,63.6,narrow,Active but Narrow,🟡,1.0,1.34,1.58,33.5,5,0.83,4,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,91.6,PVA Paints:7.4%; Enamel:20.8%; Floor & Roof Paints:28.4%; Waterproofing:31.6%; Woodcare:56.0%; Accessories:33.3%; QD Enamel:17.3%; Primers:17.5%; Specialised Coatings:8.3%; General:8.3%,0.65,53.2
KM155,Mr Build LTT (PTY) LTD,NP,Nikhil Panchal,63.1,at_risk,At-Risk,🟠,2.34,1.84,2.67,46.0,5,0.83,3,41.7,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Enamel:14.2%; Primers:17.5%; Waterproofing:39.5%; Woodcare:72.0%; Specialised Coatings:16.7%; Accessories:36.4%; QD Enamel:13.5%; PVA Paints:8.7%; Floor & Roof Paints:9.5%; Putty:37.5%; General:18.8%,-9.48,2.6
KA014,Ayob's Hardware,BV,Bhadresh Vallabh,62.5,narrow,Active but Narrow,🟡,2.0,1.5,1.33,37.5,0,0.0,12,0.0,9,9,"Accessories, Enamel, Floor & Roof Paints, General, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",81.8,90.8,Primers:27.5%; Enamel:14.8%; Woodcare:32.0%; Putty:37.5%; General:18.8%; Accessories:15.2%; QD Enamel:10.6%; Floor & Roof Paints:23.0%; Specialised Coatings:25.0%,51.02,100.0
KS017,Femac Hyper CC ta Spaza Hyper,NP,Nikhil Panchal,62.5,at_risk,At-Risk,🟠,1.67,2.34,2.17,58.5,0,0.0,56,0.0,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:12.9%; Enamel:26.8%; Primers:22.5%; Waterproofing:31.6%; Woodcare:80.0%; Accessories:24.2%; QD Enamel:13.5%; Putty:37.5%; Floor & Roof Paints:17.6%; Specialised Coatings:8.3%; General:4.2%,-6.22,18.9
KP002,Power Hardware,AP,Amit Patel,62.4,narrow,Active but Narrow,🟡,1.0,1.5,2.08,37.5,4,0.67,34,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,100.0,PVA Paints:9.1%; Enamel:19.1%; Primers:10.0%; Putty:62.5%; Accessories:12.1%; QD Enamel:11.5%; Woodcare:84.0%; Waterproofing:15.8%; Floor & Roof Paints:6.8%; General:27.1%,-2.26,38.7
KM007,Marshall Hardware & Furniture,AC,Aboo Cassim,62.2,narrow,Active but Narrow,🟡,0.67,0.67,0.67,16.8,7,1.17,33,58.3,8,8,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Specialised Coatings, Woodcare",72.7,83.3,PVA Paints:0.3%; Enamel:26.2%; Woodcare:68.0%; Specialised Coatings:16.7%; Floor & Roof Paints:32.4%; General:12.5%; Accessories:3.0%; Primers:7.5%,22.19,100.0
KP058,Paint Max,AC,Aboo Cassim,62.1,narrow,Active but Narrow,🟡,1.0,0.84,1.0,21.0,11,1.83,31,91.7,6,4,"Enamel, PVA Paints, Putty, Woodcare",43.6,100.0,PVA Paints:12.0%; Enamel:25.7%; Woodcare:60.0%; Putty:12.5%,18.54,100.0
KS061,SAFARI HARDWARE,AP,Amit Patel,62.0,narrow,Active but Narrow,🟡,1.0,1.0,1.17,25.0,8,1.33,7,66.7,9,9,"Accessories, Enamel, Floor & Roof Paints, General, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,68.9,Enamel:9.8%; Putty:75.0%; General:4.2%; Accessories:18.2%; Woodcare:28.0%; QD Enamel:2.9%; Primers:5.0%; Floor & Roof Paints:1.4%; Waterproofing:10.5%,4.44,72.2
KI010,I.Build Hardware,NP,Nikhil Panchal,61.8,at_risk,At-Risk,🟠,5.68,6.68,6.58,100.0,0,0.0,33,0.0,8,8,"Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Woodcare",72.7,100.0,PVA Paints:13.9%; Enamel:32.8%; Woodcare:80.0%; QD Enamel:13.5%; Primers:20.0%; Specialised Coatings:41.7%; General:25.0%; Floor & Roof Paints:31.1%,-28.41,0.0
KV002,Vereeniging Builders Supplies,AC,Aboo Cassim,61.7,at_risk,At-Risk,🟠,2.67,2.51,2.5,62.7,7,1.17,4,58.3,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,59.7,PVA Paints:1.3%; Primers:10.0%; Enamel:15.8%; Woodcare:52.0%; QD Enamel:7.7%; Specialised Coatings:25.0%; Floor & Roof Paints:12.2%; Waterproofing:7.9%; General:8.3%; Accessories:9.1%,-10.23,0.0
KE035,Easytile & Sanware,NP,Nikhil Panchal,61.5,narrow,Active but Narrow,🟡,1.67,1.84,1.58,46.0,0,0.0,12,0.0,9,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,69.7,PVA Paints:14.6%; Enamel:18.6%; Woodcare:32.0%; Putty:37.5%; QD Enamel:9.6%; Waterproofing:21.1%; Accessories:3.0%; General:10.4%; Primers:10.0%,19.36,100.0
KM035,Mikes Hardware,BV,Bhadresh Vallabh,61.3,narrow,Active but Narrow,🟡,0.33,1.34,1.67,33.5,4,0.67,33,33.3,9,9,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",81.8,56.0,Enamel:22.4%; Primers:7.5%; Woodcare:48.0%; QD Enamel:16.3%; Floor & Roof Paints:1.4%; Waterproofing:10.5%; Accessories:3.0%; Specialised Coatings:16.7%; PVA Paints:0.3%,17.94,100.0
KM004,MAGEZI HW WHOLESALE VILLAGE,AP,Amit Patel,61.3,narrow,Active but Narrow,🟡,1.0,1.84,1.58,46.0,4,0.67,12,33.3,8,8,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Woodcare",72.7,74.0,Enamel:28.4%; Primers:12.5%; Woodcare:48.0%; Accessories:15.2%; PVA Paints:1.9%; QD Enamel:29.8%; General:4.2%; Floor & Roof Paints:8.1%,5.86,79.3
KM079,Mohamedys Hardware,BV,Bhadresh Vallabh,61.0,narrow,Active but Narrow,🟡,1.67,1.34,1.25,33.5,4,0.67,5,33.3,11,8,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, Woodcare",83.6,50.5,Primers:5.0%; Woodcare:56.0%; Accessories:6.1%; PVA Paints:4.2%; Putty:25.0%; Floor & Roof Paints:1.4%; Enamel:1.1%; General:2.1%,29.1,100.0
KL020,Light Centre,AP,Amit Patel,60.8,narrow,Active but Narrow,🟡,0.67,0.67,0.67,16.8,0,0.0,7,0.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,95.7,Enamel:14.2%; Woodcare:56.0%; Putty:75.0%; General:20.8%; Accessories:30.3%; PVA Paints:1.9%; QD Enamel:2.9%; Waterproofing:26.3%; Floor & Roof Paints:6.8%; Primers:5.0%,13.52,100.0
